id,tick,source,topic,content_text,stance,identity_threat,political_salience,primal_triggers,primal_intensity,media_type,creator_id,outlet_id,community_id
stim_18,1,PublicRadio,T_MEMES,T_MEMES update from PublicRadio: signal +0.19,0.193,0.015,0.100,memorable,0.598,meme,,PublicRadio,
stim_22,4,PublicRadio,T_GUNS,T_GUNS update from PublicRadio: signal -0.08,-0.077,0.060,0.900,tangible,0.923,forum_thread,CreatorE,,Local
stim_342,4,MarketWatch,T_GUNS,T_GUNS update from MarketWatch: signal +0.46,0.456,0.362,0.900,memorable,0.732,forum_thread,,MarketWatch,Veterans
stim_192,5,TrendTalk,T_SCIENCE,T_SCIENCE update from TrendTalk: signal -0.11,-0.106,0.019,0.200,personal,0.319,forum_thread,CreatorB,TrendTalk,
stim_221,5,GlobalNews,T_TAXES,T_TAXES update from GlobalNews: signal -0.29,-0.287,0.174,0.700,"emotion,contrast,personal",0.608,video,CreatorC,GlobalNews,
stim_288,5,PolicyForum,T_HEALTH,T_HEALTH update from PolicyForum: signal -0.00,-0.004,0.001,0.200,"visual,personal",0.324,forum_thread,,PolicyForum,
stim_538,5,WorldDaily,T_ENVIRONMENT,T_ENVIRONMENT update from WorldDaily: signal -1.00,-1.000,0.598,0.800,"emotion,memorable,personal",0.206,social_post,CreatorC,,
stim_184,6,CommunityBoard,T_HEALTHCARE,T_HEALTHCARE update from CommunityBoard: signal +0.02,0.021,0.013,0.750,"visual,tangible,memorable",0.552,meme,CreatorD,CommunityBoard,
stim_301,6,GlobalNews,T_ENVIRONMENT,T_ENVIRONMENT update from GlobalNews: signal -1.00,-1.000,0.792,0.800,"visual,personal",0.825,meme,,GlobalNews,
stim_218,8,CommunityBoard,T_IMMIGRATION,T_IMMIGRATION update from CommunityBoard: signal +0.48,0.484,0.434,0.900,,,forum_thread,,CommunityBoard,Civic
stim_329,8,PolicyForum,T_EDUCATION,T_EDUCATION update from PolicyForum: signal -0.06,-0.059,0.026,0.600,personal,0.457,meme,CreatorE,PolicyForum,
stim_117,10,CityWire,T_EDUCATION,T_EDUCATION update from CityWire: signal +0.13,0.129,0.063,0.600,"visual,emotion",0.488,longform,CreatorD,CityWire,
stim_43,10,MarketWatch,T_IMMIGRATION,T_IMMIGRATION update from MarketWatch: signal -0.16,-0.161,0.091,0.900,"personal,emotion",0.627,forum_thread,,MarketWatch,
stim_480,10,WorldDaily,T_SCIENCE,T_SCIENCE update from WorldDaily: signal +0.04,0.039,0.008,0.200,"contrast,memorable,tangible",0.213,meme,CreatorA,WorldDaily,
stim_193,12,MarketWatch,T_TAXES,T_TAXES update from MarketWatch: signal +0.18,0.176,0.107,0.700,"visual,contrast,tangible",0.659,meme,CreatorC,MarketWatch,
stim_355,13,MarketWatch,T_TECH,T_TECH update from MarketWatch: signal +0.07,0.075,0.015,0.200,"visual,personal",0.554,social_post,,MarketWatch,
stim_588,14,GreenLens,T_HEALTHCARE,T_HEALTHCARE update from GreenLens: signal -0.57,-0.568,0.302,0.750,memorable,0.430,news,CreatorB,,Tech
